
        Named Entity Recognition task in Dutch.

        Below are 2 examples showing the text of human-geography theses. Each word in the thesis is labeled as a title (Title of the thesis),
        author(Author of the thesis), issued (Time of publication), spatial (The spatial extent, study area or spatial coverage of the entire thesis, given as placenames or place descriptions),
        subject (Concept that is the main subject of the thesis), inGroup (the group of persons studied), or as O (empty label). Non-empty labeled can start with a B- to indicate the beginning of an entity span,
        or as I- to indicate the inside of an entity span. After reading the examples, extratct the tags from the new thesis text, and return it as a JSON, where each key is a label and each value is a list of entities that have that label.
        Do not extract anything that is not in the text.

        Examples:

        Example 1 
en O
Franz-Josef O
Strausz O
in O
Beieren O
) O
als O
het O
gaat O
om O
het O
acquireren O
van O
be O
- O
drijven O
in O
het O
buitenland O
en O
het O
stimuleren O
van O
de O
economie O
( O
de O
Haan O
, O
1986 O
, O
p O
.47 O
) O
. O

De O
deelstaten O
geven O
tevens O
veel O
geld O
uit O
aan O
onderzoek O
en O
ontwikkeling O
, O
wetenschappelijke O
instituten O
en O
universiteiten O
. O

Ook O
komt O
er O
uit O
Bonn O
veel O
steun O
voor O
We O
- O
tenschap O
en O
Techniek O
. O

Daarnaast O
spelen O
persoonlijke O
factoren O
een O
niet O
te O
onderschatten O
rol O
bij O
het O
verklaren O
van O
het O
verschuiven O
van O
het O
economisch O
zwaartepunt O
in O
de O
Bondsrepubliek O
. O

De O
mooie O
omgeving O
in O
Zuid O
- O
Duitsland O
( O
" O
werken O
waar O
andere O
op O
vakantie O
gaan O
" O
) O
en O
het O
cul O
- O
tureel O
aanbod O
in O
Munchen O
zijn O
factoren O
die O
een O
verhuizing O
van O
een O
bedrijf O
of O
gezin O
zeker O
kunnen O
beïnvloeden O
. O

Tenslotte O
zijn O
er O
enkele O
psychologische O
factoren O
die O
tot O
de O
verklaring O
van O
het O
" O
Sud-Nord-Gefalle O
" O
bijdragen O
. O

Zo O
is O
het O
imago O
van O
enkele O
streken O
in O
het O
Noorden O
waarin O
het O
economisch O
slecht O
gaat O
, O
zoals O
het O
Ruhrgebied O
» O
een O
stuk O
negatiever O
dan O
het O
imago O
van O
Beieren O
, O
dat O
door O
het O
levenslustige O
en O
opti O
- O
mistische O
volkskarakter O
en O
de O
uitstraling O
van O
metropool O
Munchen O
behoorlek O
positief O
te O
noemen O
is O
( O
Grotz O
& O
Wadley O
, O
1987 O
, O
p O
.165 O
) O
. O

Baden-Wurttemberg O
staat O
daarnaast O
bekend O
om O
de O
goede O
mentali O
- O
. O

teit O
van O
de O
werknemers O
( O
" O
Schaffe O
, O
schaffe O
, O
Hausle O
baue O
" O
) O
( O
Geo O
, O
1987 O
, O
p O
.86 O
) O
. O

Het O
ziekteverzuim O
is O
er O
laag O
en O
er O
is O
sprake O
van O
een O
geringe O
arbeidsmobiliteit O
. O

Het O
protestants O
piëtisme O
en O
het O
noodzakelijke O
harde O
werken O
in O
het O
voormalig O
" O
Armenhuis O
van O
Euro O
- O
pa O
" O
zijn O
mogelijke O
oorzaken O
van O
de O
goede O
werkmenta O
1 O
iteit O
. O

Nadat O
in O
bovenstaande O
tekst O
duidelijk O
is O
geworden O
welke O
factoren O
er O
allemaal O
achter O
de O
regionaal-economische O
verschuivingen O
in O
de O
Bondsrepubliek O
schuilen O
, O
zal O
in O
de O
volgende O
paragraaf O
kort O
worden O
ingegaan O
op O
de O
mogelijke O
gevolgen O
van O
het O
" O
Sud-Nord-Ge O
- O
falle O
" O
voor O
de O
Nederlandse O
economie O
. O
1.5 O
GEVOLGEN O
VAN O
HET O
" O
SUED-NORD-GEFAELLE O
" O
VOOR O
DE O
NEDERLANDSE O
ECONOMIE O
De O
gevolgen O
voor O
de O
Nederlandse O
economie O
die O
de O
regionaal-eco O
- O
nomische O
verschuiving O
in O
de O
Bondsrepubliek O
met O
zich O
meebrengt O
, O
kunnen O
in O
twee O
groepen O
worden O
gesplitst O
. O

In O
de O
eerste O
plaats O
is O
er O
de O
invloed O
op O
de O
Nederlandse O
export O
naar O
West-Duitsland O
die O
voornamelijk O
( O
50% O
) O
is O
gericht O
op O
de O
deelstaat O
Noordrijn-Westfalen O
( O
van O
Empel O
, O
1987 O
, O
p O
.11 O
) O
. O

Uit O
een O
onderzoek O
van O
het O
ETI O
Noord-Brabant O
( O
1987 O
) O
naar O
de O
gevolgen O
van O
het O
" O
Sud-Nord-Gefalle O
" O
voor O
de O
export O
van O
enkele O
produkt O
- O
schappen O
uit O
de O
landbouw O
naar O
West-Duitsland O
, O
blijkt O
dat O
men O
door O
die O
regionaal-economische O
verschuiving O
meer O
concurrentie O
heeft O
gekregen O
van O
Zuideuropese O
staten O
, O
die O
relatief O
dichter O
9 O
bij O
Zuid-Duitsland O
liggen O
. O

Daarnaast O
heeft O
men O
ook O
last O
van O
ver O
- O
zadiging O
van O
de O
Westduitse O
markt O
voor O
wat O
betreft O
landbouw O
- O
produkten O
. O

Aangezien O
de O
landbouw O
erg O
belangrijk O
is O
in O
het O
een O
- O
zijdige O
exportpakket O
van O
Nederland O
naar O
West-Duitsland O
, O
heeft O
de O
verschuiving O
van O
het O
economisch O
zwaartepunt O
in O
de O
Bonds O
- O
republiek O
dus O
een O
negatieve O
invloed O
op O
die O
export O
. O

In O
de O
tweede O
plaats O
kan O
nog O
gewezen O
worden O
op O
de O
mogelijke O
in O
- O
vloed O
van O
het O
" O
Sud-Nord-Gefalle O
” O
op O
de O
functie O
van O
Nederland O
als O
doorvoerland O
. O

Schiphol O
en O
de O
Rijnmond O
komen O
door O
de O
verschuiving O
van O
het O
economisch O
zwaartepunt O
in O
West-Duitsland O
meer O
perifeer O
te O
liggen O
van O
het O
economisch O
centrum O
van O
Europa O
en O
zouden O
daar O
- O
door O
hun O
poortfunctie O
kunnen O
verliezen O
ten O
opzichte O
van O
andere O
verkeersknooppunten O
. O

Nader O
onderzoek O
is O
echter O
nodig O
om O
de O
preciese O
invloed O
van O
het O
” O
Sud-Nord-Gefalle O
” O
op O
Nederland O
als O
" O
gateway-to-Europe O
” O
vast O
te O
kunnen O
stellen O
. O
10 O
HOOFDSTUK O
2 O
ECONOMISCH O
PROFIEL O
BADEN-WUERTTEMBERG O
2.1 O
INLEIDING O
In O
het O
vorige O
hoofdstuk O
werd O
duidelijk O
dat O
de O
verschuiving O
van O
het O
economische O
zwaartepunt O
in O
de O
Bondsrepubliek O
Duitsland O
zich O
op O
deelstaatniveau O
van O
de O
noord O
el O
ijke O
deelstaten O
( O
met O
name O
Nedersaksen O
, O
Bremen O
, O
Hamburg O
en O
Noor O
d O
r O
ijn-Wes O
t O
f O
al O
en O
) O
naar O
de O
zuidelijke O
deelstaten O
Beieren O
en O
Baden-Wurttemberg O
voltrekt O
. O

In O
dit O
hoofdstuk O
wordt O
de O
deelstaat O
Baden-Wurttember O
? O

, O
in O
het O
kader O
van O
het O
" O
Sud-Nord-Gefalle O
" O
in O
de O
Bondsrepubliek O
Duits O
- O
land O
, O
nader O
bekeken O
. O

Getracht O
wordt O
om O
een O
economisch O
profiel O
van O
Baden-Wur O
t O
tem O
berg O
te O
geven O
waarin O
de O
vergelijking O
met O
de O
Bondsrepubliek O
Duitsland O
zoveel O
mogelijk O
gemaakt O
wordt O
en O
waarin O
tevens O
waar O
mogelijk O
rekening O
wordt O
gehouden O
met O
de O
intra-regio O
- O
nale O
verschillen O
in O
de O
deelstaat O
zelf O
( O
figuur O
2.1 O
, O
pagina O
12 O
) O
. O

Daarnaast O
zal O
ook O
de O
tijdsfactor O
, O
voor O
zover O
de O
gegevens O
dat O
toelaten O
, O
in O
ogenschouw O
worden O
genomen O
. O

Zo O
is O
het O
interessant O
om O
te O
kijken O
in O
welke O
mate O
Baden-Wurttemberg O
en O
verschillende O
andere O
deelstaten O
de O
internationale O
conjunctuur O
lijn O
volgen O
( O
de O
dieptepunten O
1973 O
- O
1975 O
en O
1980 O
- O
1983 O
en O
het O
herstel O
in O
de O
periode O
1976 O
- O
1979 O
en O
van O
1984 O
tot O
nu O
) O
. O

Het O
economisch O
profiel O
van O
de O
deelstaat O
Baden-Wurttemberg O
wordt O
aan O
de O
hand O
van O
drie O
aandachtsvelden O
geschetst O
. O

In O
de O
eerste O
plaats O
wordt O
in O
de O
eerst O
volgende O
paragraaf O
de O
arbeidsmarkt O
behandeld O
. O

Daarin O
komen O
twee O
indicatoren O
naar O
voren O
, O
namelijk O
de O
ontwikkeling O
van O
het O
aantal O
arbeidsplaatsen O
en O
de O
werkloos O
- O
heid O
. O

Vervolgens O
wordt O
de O
produktiestructuur O
van O
de O
deelstaat O
Baden-Wurttemberg O
besproken O
, O
terwijl O
daarna O
het O
produktiemilieu O
naar O
voren O
komt O
. O

Tenslotte O
wordt O
in O
de O
conclusie O
een O
samenvat O
- O
ting O
gegeven O
van O
de O
verschillende O
aspecten O
. O
2.2 O
DE O
ARBEIDSMARKT O
IN O
BADEN-WUERTTEMBERG O
Bekijkt O
men O
als O
eerste O
indicator O
van O
de O
regionale O
arbeidsmarkt O
de O
ontwikkeling O
van O
het O
aantal O
werknemers O
tussen O
1980 O
en O
1985 O
, O
dan O
valt O
op O
dat O
Baden-Wurttemberg O
en O
Zuid-Beieren O
de O
twee O
enige O
gebieden O
in O
West-Duitsland O
zijn O
die O
niet O
qua O
aantal O
werknemers O
achteruitgaan O
( O
tabel O
2.1 O
) O
. O

Tabel O
2.1 O
: O
Ontwikkeling O
van O
het O
aantal O
werknemers O
in O
procenten O
tussen O
1980 O
- O
1985 O
in O
de O
deelstaten O
en O
in O
enkele O
ar O
- O
beidsmarktdistricten O
in O
Baden-WÜrttemberg O
. O

Zuid-Beieren O
2.3 O
Wai O
blingen O
7.9 O
Baden-Württemberg O
0.0 O
Heilbronn O
4.9 O
Noord-Beieren O
- O
0.7 O
Schwabisch O
Hall O
4.1 O
B O
e O
r O
1 O
ij O
n O
- O
0.2 O
Freiburg O
1.7 O
Rijn O
land-Palts O
en O
Saarland O
- O
3.2 O
Stuttgart O
1 O
.1 O
Hessen O
- O
1.6 O
Karlsruhe O
- O
2.3 O
Noordrijn-Westfalen O
- O
3.4 O
Ulm O
- O
4.3 O
Nedersaksen O
en O
Bremen O
- O
4.9 O
Mannheim O
- O
4.4 O
Sleeswijk-Holstein O
en O
Hamburg O
- O
4.7 O
Villingen-Schwenningen O
- O
6.4 O
Bondsrepubliek O
Duitsland O
- O
2.1 O
Bron O
: O
Koller O
& O
Kridde O
, O
1986 O
. O
1 O
1 O
Figuur O
2.1 O
: O
Kaart O
van O
Baden-Wurttemberg O
met O
administratieve O
in O
- O
deling O
in O
regio O
’ O
s O
. O

Mannheim O
MI O
’ O
ITLERER O
Pforzheim O
NORD O
- O
OBERRHEIN O
Gmund O
SCHWARZ O
- O
NECKAR O
WALD O
SÜDLICHER O
- O
DONAU O
- O
SCI1WARZ O
- O
WALD O
- O
OBERRHEIN O
BAAR-HEUBERG O
ILLER O
Freiburg O
BODENSEE O
- O
BODENSEE O
OBERSCHWABEN O
HüCHRHEIN O
- O
Fri O
edrichshafen O
Konstanz O
OST O
- O
WURTTEMBERG O
UNTERER O
NECKAR O
leidelberg O
FRANKEN O
Heilbronn O
• O
Essli O
Goppingen O
MITTLERER O
Reut O
- O
lingen O
NECKAR-ALB O
• O
. O
udwigsburg O
^ O
^ O
^ O
Stuttgart O
• O
Aaien O
™ O
üffenburg O
Villingen O
- O
Tubingen O
Schwenningen O
Stad O
met O
: O
| O
P O
Meer O
dan O
500.000 O
inwoners O
100.000 O
- O
300.000 O
inwoners O
• O
‘ O
50.000 O
- O
100.000 O
inwoners O
12 O
De O
noordelijke O
deelstaten O
moeten O
echter O
tussen O
1980 O
en O
1985 O
b O
e O
- O
hoorlijke O
verliezen O
zien O
te O
verwerken O
. O

Kijkt O
men O
naar O
de O
ontwikkeling O
van O
het O
aantal O
werknemers O
over O
dezelfde O
periode O
binnen O
de O
deelstaat O
zelf O
dan O
valt O
vooral O
op O
dat O
de O
grote O
steden O
( O
Mannheim O
, O
Karlsruhe O
en O
Ulm O
) O
relatief O
meer O
werknemers O
verliezen O
dan O
plattelandsgebieden O
die O
soms O
behoor O
- O
lijk O
in O
aantal O
werknemers O
vooruitgaan O
( O
tabel O
2.1 O
) O
. O

Stuttgart O
, O
Freiburg O
en O
vooral O
Heilbronn O
zijn O
echter O
uitzonderingen O
op O
boven O
- O
genoemde O
regel O
. O

Het O
tweede O
aspect O
van O
de O
regionale O
arbeidsmarkt O
dat O
hier O
be O
- O
sproken O
wordt O
, O
de O
werkloosheid O
, O
is O
in O
het O
vorige O
hoofdstuk O
al O
kort O
aan O
de O
orde O
geweest O
. O

Daar O
werd O
al O
duidelijk O
dat O
er O
grote O
verschillen O
bestaan O
tussen O
Baden-Wurttemberg O
en O
de O
andere O
deel O
- O
staten O
( O
tabel O
2.2 O
) O
. O

Bad O
en-Wu O
r O
t O
temberg O
kent O
al O
lange O
tijd O
het O
laagste O
werkloosheidspercentage O
van O
alle O
deelstaten O
in O
de O
Bondsrepubliek O
. O

Tevens O
is O
het O
werkloosheidspercentage O
door O
de O
tijd O
voor O
Ba O
d O
en-Wu O
r O
11 O
ember O
g O
positiever O
verlopen O
dan O
voor O
de O
Bonds O
- O
republiek O
als O
geheel O
( O
tabel O
2.3 O
) O
. O

Tabel O
2.2 O
: O
Werkloosheidspercentages O
in O
de O
deelstaten O
, O
mei O
1988 O
. O

B O
e O
r O
1 O
ij O
n O
11.1 O
Nedersaksen O
en O
Bremen O
11.0 O
Sleeswijk-Holstein O
en O
Hamburg O
11.0 O
Noordrijn-Westfalen O
10.9 O
Rijnland-Palts O
en O
Saarland O
8.3 O
Noord-Beieren O
6.4 O
Bessen O
6.3 O
Zu O
i O
d-Beieren O
5.2 O
Baden-Wurttemberg O
4.9 O
Bondsrepubliek O
Duitsland O
8.9 O
Bron O
: O
Landesarbeitsamt O
Baden-Wurttemberg O
, O
Referat O
Statistik O
, O
1988 O
. O

Tabel O
2.3 O
: O
Werkloosheidspercentages O
van O
West-Duitsland O
en O
Badcn O
- O
Wurttemberg O
van O
1976 O
- O
1986 O
, O
en O
de O
indexcijfers O
( O
1976 O
= O
100 O
) O
. O

Bad O
en O
- O
Wur O
ttemberg O
Bonds O
- O
republiek O
Index O
B O
. O

W O
. O

Index O
B.R.D O
. O
1976 O
3.4 O
4.6 O
100 O
100 O
1977 O
2.9 O
4.5 O
85 O
98 O
1978 O
2.6 O
4.3 O
77 O
94 O
1 O
979 O
2.1 O
3.8 O
62 O
83 O
1 O
980 O
2.3 O
3.8 O
69 O
83 O
1981 O
3.3 O
5.5 O
97 O
120 O
1982 O
4.8 O
7.5 O
141 O
163 O
1983 O
5.9 O
9.1 O
174 O
198 O
1984 O
5.6 O
9.1 O
165 O
198 O
1 O
985 O
5.4 O
9.3 O
159 O
202 O
1986 O
5.1 O
9.0 O
150 O
196 O
Bron O
: O
Statistisches O
Jahrbuch O
, O
1987 O
. O

Na O
de O
eerste O
oliecrisis O
in O
1973 O
daalde O
het O
werkloosheidscijfer O
in O
Baden-Wurt O
temberg O
sneller O
dan O
in O
de O
Bondsrepubliek O
, O
terwijl O
13 O
in O
het O
begin O
van O
de O
jaren O
tachtig O
( O
tweede O
crisis O
) O
het O
werk O
- O
loosheidspercentage O
in O
Baden-Wurttemberg O
langzamer O
steeg O
dan O
in O
de O
Bondsrepubliek O
als O
geheel O
. O

Daarnaast O
ziet O
men O
het O
werk O
- O
loosheidspercentage O
na O
de O
tweede O
crisis O
sneller O
dalen O
( O
sinds O
1983 O
) O
dan O
in O
de O
Bondsrepubliek O
( O
sinds O
1985 O
) O
. O

Worden O
de O
werkloosheidspercentages O
binnen O
de O
deelstaat O
zelf O
bekeken O
, O
dan O
valt O
op O
dat O
de O
grote O
steden O
met O
een O
hoger O
per O
- O
centage O
te O
kampen O
hebben O
dan O
de O
plattelandsgebieden O
( O
tabel O
2.4 O
) O
. O

Grote O
uitzondering O
is O
hier O
Stuttgart O
dat O
met O
4.8% O
werklozen O
zelfs O
onder O
het O
gemiddelde O
van O
Baden-Wurttemberg O
blijft O
. O

Tevens O
is O
het O
opvallend O
dat O
de O
gebieden O
direct O
rondom O
Stuttgart O
de O
laagste O
werkloosheidspercentages O
van O
Baden-Wurttemberg O
hebben O
( O
Goppingen O
bijvoorbeeld O
) O
. O

Tabel O
2.4 O
: O
Werkloosheidspercentages O
van O
enkele O
arbeidsmarkt O
- O
districten O
in O
Baden-Wurttemberg O
in O
mei O
1988 O
. O

Ma O
nnheim O
8.2 O
Frei O
burg O
7.0 O
Heidelberg O
6.6 O
KarIsruhe O
6.2 O
Ulm O
6.1 O
Stuttgart O
4.8 O
Goppingen O
3.7 O
N O
a O
g O
o O
1 O
d O
3.6 O
Bron O
: O
Landesarbeitsamt O
Baden-Wurttemberg O
, O
Referat O
Statistik O
, O
1988 O
. O

Samenvattend O
kan O
gezegd O
worden O
dat O
de O
arbeidsmarkt O
van O
Baden O
- O
Wurttemberg O
zich O
erg O
gunstig O
verhoudt O
tot O
de O
Bondsrepubliek O
als O
geheel O
. O

Ook O
als O
de O
arbeidsmarkt O
door O
de O
tijd O
bekeken O
wordt O
komt O
Baden-Wurttemberg O
beter O
uit O
de O
bus O
dan O
West-Duitsland O
. O

Bekijkt O
men O
de O
arbeid O
smarktsituatie O
binnen O
Baden-Wurttemberg O
dan O
blijkt O
in O
de O
eerste O
plaats O
dat O
Stuttgart O
en O
omgeving O
zich O
gunstig O
verhoudt O
ten O
opzichte O
van O
de O
rest O
van O
de O
deelstaat O
. O

Buiten O
het O
gebied O
van O
Stuttgart O
bestaat O
er O
een O
" O
Stadt-Umland O
- O
Gefalle O
" O
waarbij O
de O
steden O
zich O
minder O
gunstig O
ontwikkelen O
dan O
de O
rurale O
gebieden O
. O
2.3 O
DE O
PRODUKTIESTRUCTUUR O
VAN O
BADEN-WUERTTEMBERG O
De O
produktiestructuur O
van O
een O
regio O
bestaat O
uit O
een O
aantal O
economische O
aspecten O
van O
de O
bedrijvigheid O
naar O
bedrijfstak O
( O
GKPB O
2.1 O
- O
bundel O
, O
1987 O
, O
p O
.55 O
) O
. O

Wordt O
als O
eerste O
economische O
aspect O
het O
aantal O
arbeidsplaatsen O
in O
de O
verschillende O
sectoren O
in O
Baden-Wurttemberg O
in O
vergelijking O
met O
de O
Bondsrepubliek O
bekeken O
, O
dan O
valt O
allereerst O
op O
dat O
er O
relatief O
veel O
werknemers O
in O
de O
in O
- O
dustrie O
werkzaam O
zijn O
( O
tabel O
2.5 O
) O
. O

De O
Bondsrepubliek O
geldt O
bin O
- O
nen O
West-Europa O
als O
een O
industrie-staat O
, O
maar O
Baden-Wurttemberg O
kan O
binnen O
West-Duitsland O
weer O
gezien O
worden O
als O
een O
industrie O
- O
staat O
bij O
uitstek O
. O

Bijfia O
48% O
van O
de O
beroepsbevolking O
is O
er O
werk O
- O
zaam O
in O
de O
secundaire O
sector O
, O
tegen O
39% O
in O
de O
Bondsrepubliek O
( O
Statistisches O
Jahrbuch O
, O
1987 O
) O
. O

De O
diensten O
en O
land O
— O
en O
mijn O
- O
bouw O
zijn O
in O
Baden-Wurttemberg O
relatief O
gezien O
van O
minder O
groot O
belang O
( O
Label O
2.5 O
) O
. O

Als O
men O
de O
bruto O
toegevoegde O
waarde O
naar O
14 O
sectoren O
bekijkt O
dan O
valt O
het O
belang O
van O
de O
industrie O
in O
Baden O
- O
Wurttemberg O
nog O
eens O
extra O
op O
. O

De O
helft O
van O
de O
bruto O
toege O
- O
voegde O
waarde O
van O
de O
economie O
in O
Baden-Wurttemberg O
komt O
name O
- O
lijk O
op O
naam O
van O
de O
industrie O
( O
Statistisches O
Taschenbuch O
Baden O
- O
Wurttemberg O
, O
1986 O
/ O
1987 O
) O
. O

Tabel O
2.5 O
: O
Percentage O
werknemers O
in O
de O
verschillende O
sectoren O
in O
een O
aantal O
deelstaten O
in O
1986 O
. O

land O
- O
en O
m O
ij O
n O
b O
o O
u O
w O
indu O
- O
strie O
handel O
bouw O
overige O
diensten O
Beieren O
2.3 O
42.2 O
12.8 O
8.1 O
34.5 O
Bad O
en-Wur O
ttemberg O
1 O
.9 O
47.9 O
11 O
.4 O
6.9 O
31.9 O
Noordrijn-Westfalen O
5.3 O
39.5 O
13.7 O
6.2 O
35.3 O
Bondsrepubliek O
3.4 O
39.3 O
13.2 O
6.9 O
37.2 O
Bron O
: O
Statistisches O
Jahrbuch O
, O
1987 O
. O

Als O
men O
de O
ontwikkeling O
van O
het O
aandeel O
van O
de O
industrie O
( O
bruto O
toegevoegde O
waarde O
) O
van O
Baden-Wurttemberg O
aan O
de O
Bondsrepubliek O
bekijkt O
, O
dan O
blijkt O
dat O
aandeel O
alleen O
nog O
maar O
toegenomen O
te O
zijn O
vanaf O
1970 O
( O
Statistisches O
Taschenbuch O
Baden-Wurttemberg O
, O
1986 O
/ O
1987 O
) O
. O

De O
industrie O
wordt O
, O
met O
andere O
woorden O
, O
relatief O
gezien O
alleen O
nog O
maar O
belangrijker O
voor O
Baden-Wurttemberg O
. O

Binnen O
de O
industrie O
domineren O
, O
naar O
aantal O
arbeidsplaatsen O
, O
vooral O
de O
machinebouw O
, O
de O
electrotechniek O
en O
de O
transportmid O
- O
delenindustrie O
( O
Statistisches O
Taschenbuch O
Baden-Wurttemberg O
, O
1986 O
/ O
1987 O
) O
. O

Deze O
drie O
bedrijfstakken O
die O
elk O
qua O
aantal O
arbeids O
- O
plaatsen O
ongeveer O
even O
groot O
zijn O
, O
hebben O
de O
helft O
van O
alle O
in O
- O
dustriële O
werknemers O
in O
handen O
en O
zijn O
in O
vergelijking O
met O
de O
Bondsreppbliek O
als O
geheel O
relatief O
oververtegenwoordigd O
( O
tabel O
2.6 O
) O
. O

Tabel O
2.6 O
: O
Percentage O
werknemers O
in O
1985 O
en O
1986 O
en O
concentratie O
- O
getallen O
in O
1986 O
( O
BRD O
= O
100 O
) O
in O
verschillende O
industriële O
bedrijfsklassen O
in O
Baden-Wurttemberg O
. O
1985 O
1986 O
1986 O
Machinebouw O
17.7 O
17.9 O
125 O
Electrotechniek O
16.9 O
17.2 O
125 O
Transportmiddelenindustrie O
15.7 O
15.7 O
122 O
Textiel O
5.5 O
5.3 O
1 O
45 O
Chemie O
4.8 O
4.8 O
54 O
IJzer O
en O
metaalindustrie O
4.4 O
4.6 O
31 O
Voed O
Lngsmiddelenindustrie O
3.8 O
3.7 O
72 O
Fijnmechanica O
en O
optiek O
3.6 O
3.6 O
162 O
Kunststof O
3.2 O
3.2 O
97 O
Houtverwerking O
2.9 O
2.7 O
101 O
Overige O
industrie O
21 O
.5 O
21 O
.3 O
J00.0 O
100.0 O
Bron O
: O
Statistisches O
Taschenbuch O
Baden-Wurttemberg O
, O
1986 O
/ O
1987 O
; O
Statistisches O
Jahrbuch O
, O
1987 O
. O
15 O
Uit O
tabel O
2.6 O
blijkt O
dat O
de O
machinebouw O
en O
electrotechniek O
de O
laatste O
jaren O
een O
groter O
aandeel O
in O
de O
industrie O
hebben O
ver O
- O
worven O
, O
terwijl O
traditionele O
sectoren O
als O
de O
textiel O
en O
hout O
- O
verwerking O
hun O
aandeel O
in O
de O
industrie O
zagen O
dalen O
. O

Ook O
qua O
omzet O
zijn O
de O
machinebouw O
, O
de O
electrotechniek O
en O
de O
transportmiddelenindustrie O
de O
dominante O
pij O
Iers O
binnen O
de O
secun O
- O
daire O
sector O
. O

De O
drie O
bovengenoemde O
bedrijfstakken O
namen O
in O
1986 O
respectievelijk O
17,5% O
, O
16.0% O
en O
15.0% O
van O
de O
totale O
industriële O
omzet O
voor O
hun O
rekening O
( O
Statistisches O
Taschenbuch O
Baden-Wurt O
- O
temberg O
, O
1986 O
/ O
1987 O
) O
. O

De O
aanwezigheid O
van O
enkele O
hoofdkantoren O
van O
grote O
multinationale O
ondernemingen O
in O
Stuttgart O
en O
omgeving O
, O
die O
in O
de O
machinebouw O
, O
de O
electrotechniek O
en O
de O
transportmid O
- O
delenindustrie O
aanwezig O
zijn O
, O
werkt O
ongetwijfeld O
mee O
aan O
de O
domi O
- O
nantie O
van O
de O
drie O
bovengenoemde O
bed O
rijf O
sklassen O
in O
de O
industrie O
van O
Baden-Wurttemberg O
. O

Met O
name O
Daimler-Benz O
( O
in O
1980 O
183.392 O
werknemers O
wereldwijd O
) O
en O
Robert O
Bosch O
( O
120.020 O
werknemers O
wereld O
- O
wijd O
) O
zijn O
bedrijven O
die O
een O
enorm O
belangrijke O
motorfunctie O
hebben O
in O
de O
economie O
van O
Baden-Wurttemberg O
en O
vele O
toeleveringsbe O
- O
drijven O
in O
de O
regio O
van O
orders O
voorzien O
( O
de O
Jong O
& O
Thuis O
, O
1983 O
) O
. O

De O
regionale O
verdeling O
van O
de O
industriële O
bedrijvigheid O
binnen O
de O
deelstaat O
Baden-Wurttemberg O
kan O
men O
aflezen O
aan O
het O
aantal O
industriële O
werknemers O
per O
duizend O
inwoners O
. O

Het O
regeringsdistrict O
Stuttgart O
( O
het O
noordoostelijke O
deel O
van O
de O
deelstaat O
) O
is O
het O
meest O
geïndustrialiseerde O
district O
. O

Met O
179 O
industrie-arbeiders O
per O
duizend O
inwoners O
komt O
het O
als O
enige O
district O
boven O
het O
gemiddelde O
van O
Baden-Wurttemberg O
uit O
( O
tabel O
2.7 O
) O
. O

Tabel O
2.7 O
: O
Aantal O
industriële O
werknemers O
per O
duizend O
inwoners O
in O
regeringsdistricten O
, O
regio O
’ O
s O
en O
enkele O
steden O
in O
Baden-Wurttemberg O
in O
1987 O
. O

regeringsdistrict O
regio O
stad O
Stuttgart O
179 O
Mittlerer O
Neckar O
Ostwur O
ttemberg O
Franken O
190 O
179 O
142 O
Stuttgart O
Boblingen O
220 O
267 O
Tubingen O
146 O
Donau-Iller O
160 O
Ulm O
273 O
Neckar-Alb O
149 O
Bodensee-Oberschwaben O
132 O
Karlsruhe O
136 O
Unterer O
Neckar O
140 O
Mannhei O
m O
217 O
Nordschwarzwald O
139 O
Pforzheim O
223 O
Mittlerer O
Oberrhein O
131 O
Frei O
burg O
130 O
Schwarzwald-Baar-Heuberg O
185 O
Tuttlingen O
195 O
Hochrhein-Bodensee O
129 O
Sudlicher O
Oberrhein O
105 O
Bron O
: O
Werner O
, O
1988 O
. O

Binnen O
het O
district O
Stuttgart O
is O
vooral O
de O
regio O
Mittlerer O
Neckar O
met O
190 O
industrie-arbeiders O
per O
duizend O
inwoners O
het O
meest O
geïndustrialiseerd O
. O

In O
deze O
regio O
ligt O
de O
stad O
Stuttgart O
zelf O
( O
220 O
industrie-arbeiders O
per O
duizend O
inwoners O
) O
en O
de O
dicht O
- O
bevolkte O
streek O
daaromheen O
( O
onder O
andere O
Bëblingen O
met O
267 O
in O
- O
dustrie-arbeiders O
per O
duizend O
inwoners O
) O
. O

De O
industrie O
in O
Baden O
- O
16 O
Wurttemberg O
is O
dus O
met O
name O
van O
belang O
in O
Stuttgart O
en O
zijn O
omgeving O
. O

Er O
zijn O
echter O
ook O
enkele O
anderen O
gebieden O
en O
regio O
’ O
s O
die O
relatief O
veel O
industrie O
hebben O
, O
zoals O
Ulm O
, O
Mannheim O
en O
de O
regio O
Schwarzwald-Baar-Heuberg O
( O
tabel O
2.7 O
) O
. O

Steden O
met O
opvallend O
weinig O
industrie O
zijn O
Freiburg O
( O
78 O
industrie-arbeiders O
per O
dui O
- O
zend O
inwoners O
) O
en O
Tubingen O
( O
81 O
industrie-arbeiders O
per O
duizend O
inwoners O
) O
. O

Deze O
steden O
hebben O
relatief O
veel O
tertiaire O
werkgelegen O
- O
heid O
binnen O
de O
grenzen O
vanwege O
onder O
andere O
universiteiten O
( O
