
        Named Entity Recognition task in Dutch.

        Below are 2 examples showing the text of human-geography theses. Each word in the thesis is labeled as a title (Title of the thesis),
        author(Author of the thesis), issued (Time of publication), spatial (The spatial extent, study area or spatial coverage of the entire thesis, given as placenames or place descriptions),
        subject (Concept that is the main subject of the thesis), inGroup (the group of persons studied), or as O (empty label). Non-empty labeled can start with a B- to indicate the beginning of an entity span,
        or as I- to indicate the inside of an entity span. After reading the examples, extratct the tags from the new thesis text, and return it as a JSON, where each key is a label and each value is a list of entities that have that label.
        Only extract entities that are in the text. Follow the annotation rules.
        
        Annotation rules:
. O
laboratorium O
( O
research O
en O
controle O
) O
4 O
. O
inkoop O
en O
verkoop O
afdeling O
5 O
. O
expeditie O
6 O
. O
administratie O
7 O
. O

" O
huishoudelijke"diensten O
( O
kantine O
e.d O
. O
) O
8 O
. O
bedrijfsleiding O
. O

Soms O
is O
er O
bij O
grotere O
bedrijven O
een O
bedrijfsschool O
. O

Dit O
alles O
vraagt O
ruimte O
. O

Die O
ruimte O
is O
ingericht O
. O

De O
situering O
van O
de O
diverse O
onderdelen O
t.o.v O
. O
elkaar O
en O
het O
eventuele O
wegennet O
noemt O
men O
wel O
de O
lay-out O
. O

Het O
merendeel O
van O
de O
activiteiten O
zal O
zich O
in O
gebouwen O
afspelen O
. O

Productie O
en O
niet-productie O
bezigheden O
vragen O
ook O
mensen O
, O
hulpmiddelen O
en O
machines O
. O

Productie O
vraagt O
weer O
om O
grond O
- O
en O
hulpstoffen O
en O
energie O
. O

Dat O
zijn O
dingen O
die O
m O
. O
i O
. O

beter O
bij O
de O
externe O
kant O
bekeken O
kunnen O
worden O
. O

Alles O
moet O
ge O
- O
kocht O
, O
gehuurd O
, O
gepacht O
of O
in O
dienst O
genomen O
worden O
. O

Daarvoor O
is O
kapitaal O
nodig O
. O

Daarbij O
bestaan O
voor O
ieder O
bedrijf O
specifieke O
1 O
) O
Voor O
bedrijf O
mag O
men O
lezen O
vestiging O
en O
voor O
productieafdeling O
technische O
eenheid O
. O

Dat O
zijn O
de O
termen O
die O
het O
CBS O
bij O
de O
bedrijfs O
- O
telling O
hanteert O
. O

Zie O
Derde O
algemene O
bedrijfstelling O
1933 O
deel O
1 O

. O

- O
20 O
- O
problemen O
. O

De O
verhouding O
eigen O
en O
vreemd O
vermogen O
dient O
goed O
te O
zijn O
. O

Wat O
het O
geleende O
geld O
betreft O
onderscheidt O
men O
leningen O
op O
korte O
, O
middellange O
en O
lange O
termijn O
. O

Hierbij O
moet O
de O
termijn O
in O
overeenstemming O
zijn O
met O
de O
bestemming O
. O

De O
ondernemer O
( O
bedrijfsleiding O
) O
moet O
alles O
organiseren O
, O
plaat O
- O
sen O
en O
op O
elkaar O
afstemmen O
. O

Voortdurend O
is O
hij O
aan O
het O
kiezen O
. O

De O
juistheid O
of O
beter O
de O
mate O
van O
juistheid O
van O
die O
interne O
keuzen O
bepaalt O
gedeeltelijk O
of O
en O
in O
welke O
mate O
het O
onder O
- O
nemersdoel O
wordt O
bereikt O
. O

De O
" O
buitenwereld O
" O
bepaalt O
dat O
voor O
het O
andere O
deel O
, O
maar O
bedrijven O
kunnen O
zeker O
ook O
door O
interne O
' O
oorzaken O
( O
b.v O
. O
verkeerde O
financiering O
en O
slechte O
organisatie O
) O
liquideren O
. O

Neemt O
men O
een O
aantal O
gegevens O
van O
het O
bedrijf O
en O
relateert O
men O
die O
, O
dan O
krijgt O
men O
indices O
. O

Hierbij O
dient O
men O
er O
op O
bedacht O
te O
zijn O
dat O
bij O
dat O
relateren O
vanuit O
beide O
gegevens O
gewerkt O
kan O
worden O
( O
b.v O
. O
het O
aantal O
m2 O
per O
werknemer O
of O
het O
aantal O
werknemers O
per O
ha O
) O
. O

In O
onderstaand O
schemaatje O
zijn O
de O
meest O
gebruikelijke O
indices O
opgenomen O
. O

De O
open O
vakjes O
heb O
- O
ben O
betrekking O
op O
de O
" O
opgedraaide O
" O
indices O
. O

gerelateerd O
aan O
: O
opp O
. O
in O
m O
‘ O
4 O
kapitaal O
uotaal O
pers O
. O
toegevoeg O
- O
de O
waarde O
opp O
. O
in O
m2 O
X O
1 O
) O
kapitaal O
2 O
) O
X O
3 O
) O
totaal O
perso O
- O
neel O
X O
toegevoegde O
waarde O
4 O
) O
5 O
) O
6 O
) O
X O
1 O
) O
aantal O
m2 O
per O
werknemer O
( O
terreinciuotient O
) O
. O
2 O
) O
investeringen O
per O
m2 O
( O
knpitaal O
= O
geïnvesteerd O
kapitaal O
) O
. O
3 O
) O
investeringen O
per O
werknemer O
. O
4 O
) O
toegevoegde O
waarde O
per O
m2 O
. O
5 O
) O
rendement O
. O
6 O
) O
toegevoegde O
waarde O
per O
werknemer O

. O

- O
21 O
- O
De O
diverse O
gegevens O
kan O
men O
nog O
verder O
splitsen O
( O
b.v O
. O
opper O
- O
vlakte O
in O
oppervlakte O
" O
bruto O
en O
netto O
, O
" O
bebouwd O
en O
onbebouwd O
enz O
. O
) O
. O

De O
indices O
worden O
dan O
steeds O
nauwkeuriger O
. O

Men O
dient O
bij O
het O
maken O
en O
interpreteren O
van O
indices O
wel O
op O
de O
aard O
van O
het O
bedrijf O
te O
letten O
.1 O
) O
De O
indices O
die O
ontstaan O
zijn O
opzich O
nutteloos O
. O

Door O
ze O
te O
ver O
- O
gelijken O
met O
indices O
van O
een O
bedrijf O
of O
bedrijven O
met O
de O
zelf O
- O
de O
activiteit O
, O
kan O
men O
wellicht O
conclusies O
trekken O
m.b.t O
. O
al O
- O
lerlei O
vormen O
van O
efficiency O
. O

Twee O
eigenschappen O
van O
de O
onderneming O
, O
die O
hier O
om O
een O
behan O
- O
deling O
vragen O
- O
schaal O
van O
de O
productie O
en O
rechtsvorm O
- O
vallen O
allebei O
een O
beetje O
tussen O
de O
interne O
en O
externe O
kanten O
van O
het O
bedrijf O
of O
beter O
gezegd O
: O
ze O
behoren O
tot O
beide O
kanten O
. O

b.Schaal O
van O
de O
productie O
. O
' O
' O
■ O
- O
De O
productie-schaal O
heeft O
gevolgeh O
voor O
de O
omvang O
van O
o.a O
. O

personeel O
, O
oppervlakte O
, O
investeringen O
en O
rendement O
. O

Dat O
laat O
- O
ste O
kan O
men O
vaalt O
verhogen O
door O
het O
tpepassen O
van O
een O
econo O
- O
mische O
wetmatigheid O
: O
scale O
economiesS O
) O
. O

Men O
zoekt O
een O
optimale O
omvang O
van O
de O
productie O
. O

Dit O
betekent O
vaak O
een O
verhogen O
ervan O
. O

Dat O
heeft O
gevolgen O
voor O
arbeidsbestand O
enz O
. O

Nieuwe O
machines O
hebben O
vaak O
een O
grotere O
capaciteit O
dan O
de O
oudere O
. O

Dan O
moet O
men O
wel O
meer O
gaan O
produceren O
. O

Voor O
uitbreiding O
van O
de O
produc O
- O
tie O
ontbreekt O
vaalt O
het O
benodigde O
kapitaal O
. O

Uitgifte O
van O
nieuwe O
aandelen O
of O
van O
obligaties O
zijn O
niet O
altijd O
mogelijk O
. O

Den O
op O
- O
lossing O
is O
dan O
een O
fusie O
( O
d.w O
. O
z O
. O
twee O
of O
meer O
ondernemingen O
besluiten O
tot O
een O
juridisch O
en O
financieel O
samenwerken O
waarbij O
de O
partners O
min O
of O
meer O
gelijk O
zijn O
) O
of O
een O
overname O
( O
een O
of O
meer O
ondernemingen O
kopen O
een O
andere O
op O
) O
. O

Fusies O
en O
overnames O
worden O
om O
veel O
meer O
redenen O
gepleegd O
( O
zie O
pag O
. O
22 O
) O
. O

De O
gevolgen O
van O
de O
schaalvergroting O
zijn O
moeilijk O
meetbaar O
omdat O
ze O
vaalt O
samengaan O
met O
andere O
wijzigingen O
. O

c O
. O

Fusies O
en O
overnames O
, O
. O

Fusies O
en O
overnames O
komen O
hoe O
langer O
hoe O
meer O
voor O
in O
Neder O
- O
land O
. O

Vaak O
zijn O
de O
oorzaken O
duidelijk O
maar O
het O
is O
ook O
een O
mode O
geworden O
in O
het O
bedrijfsleven O
zodat O
sommigen O
spreken O
van O
" O
de O
klonterziekte O
. O
1 O
2 O
1 O
) O
zo O
zijn O
m.i O
. O
terreinquotienten O
voor O
vestigingen O
van O
o.a O
. O

taxi-bedrijven O
, O
afdelingen O
plantsoenen O
en O
gemeentewerken O
en O
van O
sleepdiensten O
overbodig O
. O

Zie O
voor O
tegengestelde O
op O
- O
vatting O
het O
rapport O
" O
Vondelingenplart-Botlek-DuropQort O
" O
, O
Rotterdam O
, O
1970 O
. O
2 O
) O
zie O
hiervoor O
o.a O
. O

M.Chisholm O
: O
Geography O
and.econornics O
. O

London O
, O
196b O
. O
m.n O
* O
hoofdstuk O
4 O

. O

- O
22 O
- O
Econóuien O
zijn O
nof O
; O
niet O
erg O
lang O
bezig O
met O
de O
studie O
van O
fusies O
en O
overnames O
. O
- O
* O
- O
) O
Het O
gaat O
na O
fusies O
en O
overnames O
lang O
niet O
altijd O
goed O
, O
laat O
staan O
beter O
met O
de O
betrokken O
bedrijven O
.2 O
) O
dat O
de O
gevolgen O
zijn O
voor O
de O
industriële O
structuur O
is O
bij O
mijn O
weten O
nog O
nooit O
onderzocht O
. O

Mogelijke O
gevolgen O
zijn O
: O
1 O
. O
geen O
veranderingen O
( O
wel O
potentiële O
) O
2o O
wel O
veranderingen O
w O
. O
o O
. O
: O
a O
. O
versnelde O
groei O
of O
afname O
b O
. O
specialisatie O
of O
juist O
een O
groter O
assortiment O
c O
. O
verplaatsing O
of O
opheffing O
. O

Het O
meten O
van O
de O
gevolgen O
van O
fusies O
voor O
m O
. O
n O
. O
de O
werkgelegen O
- O
heid O
is O
erg O
moeilijk O
.3 O
) O
d O
. O

Ondernemings O
of O
rechtsvormen O
. O

Vele O
ondernemingen O
hebben O
een O
juridische O
vorm O
die O
alleen O
historisch O
verklaarbaar O
is O
. O

Wijzigingen O
komen O
enorm O
veel O
voor O
: O
1 O
. O
velé O
vennootschappen O
onder O
firma O
en O
besloten O
vennootschap O
- O
pen O
worden O
n.v O
. O
’ O
s O
, O
vaak O
i.v.m O
. O
een O
toekomstig O
beroep O
op O
de O
kapitaalmarkt O
; O
2 O
. O
grote O
ondernemingen O
, O
concerns O
e.d O
. O
passen O
vrij O
. O
vaak O
de O
organisatie O
van O
afdelingen O
en O
dochterondernemingen O
aan O
. O

Daarbij O
kan O
om O
allerlei O
redenen O
w O
. O
o O
. O
fiscale O
en O
i.v.m O
. O

de O
aansprakelijkheid O
ook O
de O
juridische O
vorm O
gewijzigd O
worden O
. O

e.De O
grootte O
van O
een O
bedrijf O
. O

Als O
maatstaf O
voor O
de O
bepaling O
van O
de O
omvang O
van O
een O
bedrijf O
kan O
men O
eventueel O
de O
oppervlakte O
nemen O
of O
de O
omvang O
van O
het O
kapitaal O
. O

Heel O
vaak O
kiest O
men O
de O
omzet O
en O
het O
aantal O
werknemers O
. O

In O
de O
toekomst O
zal O
men O
in O
West O
Europa O
i.p.v O
. O
omzet O
waarschijn O
- O
lijk O
de O
toegevoegde O
waarde O
nemen O
. O

De O
keuze O
van O
de O
maatstaf O
hangt O
af O
van O
het O
beschikbare O
materiaal O
en O
het O
doel O
van O
de O
informatie O
. O
1 O
) O
zie O
voor O
de O
resultaten O
o O
. O
a O
. O
: O
1 O
. O

H O
. O

J O
. O

Noordewier O
: O
Fusies O
: O
feiten O
na O
fabeltjes O
. O

In O
Inter O
- O
mediair O
van O
4 O
- O
sept O
. O
1970 O
. O
2 O
. O

J O
. O

J O
. O

Wouterse O
: O
Fusierage O
en O
fusierijpheid O
. O

In O
Interme O
- O
diair O
van O
23 O
okt O
. O
1970 O
. O
3 O
. O
drs O
. O

W O
. O

J O
. O

R O
. O

Rozenbroek O
: O
Bedrijven O
in O
de O
gevarenzone O
: O
1 O
. O

Het O
sein O
op O
rood O
. O

In O
Intermediair O
van O
11 O
dec O
. O
1970 O
. O
2 O
. O

De O
impasse O
doorbreken O
. O

In O
Intermediair O
van O
18 O
dec O
. O
1970 O
. O
3 O
. O

Directies O
voor O
dilemma's O
. O

In O
Intermediair O
van O
24 O
- O
dec O
. O
1970 O
. O
4 O
. O

Stichting O
Maatschappij O
en O
Onderneming O
: O
Fusies O
, O
een O
terreinverkenning O
. O

Den O
Haag O
, O
1970 O
. O
2 O
) O
zie O
artikel O
in'tParool O
van O
13 O
febr O
. O
1970 O
" O
Moeilijkheden O
ko O
- O
men O
pas O
na O
fusie O
" O
en O
in O
het O
Parool O
van O
24 O
- O
dec O
» O
1970 O
het O
artikeltje O
over O
drs.W.de O
Jong O
( O
V.U O
. O
) O

" O
Fusies O
leiden O
tot O
weinig O
resultaat O
" O
. O
3 O
) O
zie O
hier O
o.a O
. O
voor O
" O
Ontwikkelingen O
in O
de O
structuur O
van O
het O
br.abants O
industriële O
bedrijfsleven O
" O
in O
" O
Noord-Brabant O
" O
1969 O
no O
.4 O
. O
pag O
.229 O
- O
263 O

. O

- O
23 O
- O
Grote O
industriële O
" O
bedrijven O
groeien O
sneller O
clan O
kleinere O
. O

Zij O
worden O
voor O
de O
werkgelegenheid O
on O
de O
productie O
relatief O
’ O
steeds O
belangrijker O
. O

Sommigen O
zien O
daarom O
het O
einde O
van O
het O
klein O
- O
en O
middengroot O
bedrijf O
naderen O
; O
Kenneth O
Gnlbraith O
: O
The O
ne O
' O
.7 O
industrial O
state O
. O

Anderen O
w O
. O
o O
. O
prof O
. O
dr O
. O

S O
. O

Cambion O
in O
het O
Alg O
. O

Handelsblod O
van O
25 O
nov O
.1969 O
achten O
het O
middelgroot O
bedrijf O
uitstekend O
geschikt O
om O
vele O
initiatieven O
zich O
te O
laten O
ontwik O
- O
kelen O
. O

Zie O
ook O
drs O
. O

J O
. O

E O
. O

Hagen O
: O
Het O
krijttijdperk O
van O
het O
kleine O
bedrijf O
, O
in O
Intermediair O
van O
16 O
okt O
.1970 O
. O

Hoofdstuk O
4 O
. O

Het O
individuele O
bedrijf O
extern O
: O
de O
markten O
. O

par O
.1 O
. O

Inleiding O
. O

Een O
industrieel O
bedrijf O
is O
door O
zijn O
relaties O
met O
zijn O
" O
buitenwereld O
" O
opgenomen O
in O
een O
bepaalde O
bestaanswijze-struc O
- O
tuur O
. O

Bestaanswijze-structuur O
of O
sociale O
geografie O
» O
1 O
) O
Daarbij O
kan O
men O
natuurlijk O
een O
schaal O
invoeren O
; O
lokaal O
, O
regionaal O
, O
nationaal O
, O
" O
continentaal O
" O
en O
mondiaal O
. O

Zo O
’ O
n O
bestaanswijzestructuur O
is O
zeer O
complex O
en O
een O
volledige O
beschrijving O
ervan O
is O
vrijvzel O
onmogelijk O
. O

Maar O
dat O
is O
ook O
niet O
nodig O
; O
het O
industriële O
be O
- O
drijf O
is O
uitgangspunt O
. O

Hoe O
dat O
functioneert O
in O
en O
terzelfder O
- O
tijd O
deel O
uit O
maakt O
van O
de O
bestaanswijzestructuur O
, O
is O
de O
vraag O
die O
hier O
beantwoord O
moet O
worden O
. O

Dat O
wil O
ik O
trachten O
te O
doen O
door O
de O
factoren O
die O
van O
externe O
aard O
zijn O
en O
die O
mede O
de O
productie O
bepalen O
, O
gedeeltelijk O
op O
een O
iets O
andere O
manier O
dan O
gebruikelijk O
te O
benaderen O
. O

De O
be O
- O
schrijving O
van O
" O
de O
arbeidsmarkt O
" O
van O
Davelaar O
, O
Slagter O
en O
De O
Smidt O
heeft O
me O
op O
dat O
idee O
gebracht O
. O

Zij O
stellen O
dat O
de O
arbeidsmarkt O
" O
de O
konfrontatie O
van O
een O
gestruktureerde O
vraag O
1 O
) O
Het O
gebruik O
van O
de O
term O
sociale O
geografie O
op O
deze O
manier O
is O
aantrekkelijk O
. O

Het O
wordt O
o O
. O
a O
. O
gedaan O
dooi O
’ O
Pierre O
Gourou O
in O
de O
" O
Tropical O
world O
" O
en O
door O
R.Tamsma O
in O
" O
De O
L'oshav O
Ovdiem O
. O

Invloeden O
op O
de O
sociale O
geografie O
van O
Israël O
’ O
s O
kleine-boerendorpen O
zonder O
loonarbeid O
" O
. O

Assen O
, O
1966 O

. O

- O
24 O
- O
naar O
en O
aanbod O
van O
arbeidskrachten O
” O
is O
" O
waarbij O
we O
een O
on O
- O
derscheid O
maken O
tussen O
potentiële O
- O
, O
feitelijke O
- O
en O
latente O
vraag O
resp O
. O
aanbod O
” O
. O
In O
feite O
stellen O
ze O
dus O
dat O
de O
arbeids O
- O
markt O
al O
het O
( O
betaalde O
) O
werk O
is O
dat O
gedaan O
moet O
worden O
( O
gedaan O
zou O
moeten O
worden O
) O
en O
alle O
mensen O
die O
dat O
werk O
doen O
( O
zouden O
kunnen O
doen O
) O
. O

Die O
markt O
moet O
nog O
ruimtelijk O
begrensd O
worden O
. O

Dat O
kan O
men O
doen O
b.v O
. O
door O
forensenstromen O
te O
analyseren O
. O

Het O
is O
mogelijk O
om O
binnen O
de O
markt O
deelmarkten O
te O
onderscheiden O
door O
op O
de O
aard O
van O
het O
werk O
te O
letten O
. O

Markt O
heeft O
dus O
een O
veel O
wijdere O
betekenis O
gekregen O
dan O
kopen O
- O
verkopen O
. O

De O
bedoeling O
is O
nu O
om O
ook O
de O
andere O
externe O
relaties O
van O
bedrijven O
te O
beschrijven O
als O
" O
markten O
” O
zodat O
niet O
alleen O
een O
relatie O
maar O
ook O
de O
achtergrond O
ervan O
duidelijk O
wordt O
. O

De O
dynamiek O
van O
de O
relaties O
komt O
zo O
meer O
tot O
zijn O
recht O
. O

Van O
zo'n O
markt O
, O
die O
in O
zekere O
mate O
een O
eigen O
leven O
leidt O
( O
auto O
- O
noom O
is O
) O
wordt O
nagegaan O
of O
hij O
ruimtelijk O
is O
, O
of O
er O
sprake O
is O
van O
verschillende O
schalen O
. O

D O
. O
w O
. O
z O
. O
door O
te O
kijken O
naar O
verschil O
- O
len O
. O
in O
intensiteit O
van O
relaties O
een O
markt O
ruimtelijk O
af O
te O
X O
grenzen O
en O
na O
te O
gaan O
of O
de O
markten O
van O
een O
zelfde O
soort O
samen O
niet O
ook O
een O
markt O
' O
vormen O
. O

B.v O
. O
de O
( O
stads O
) O
gewestelijke O
arbeids O
- O
markten O
vormen O
in O
Nederland O
samen O
de O
nationale O
arbeidsmarkt O
. O

Is O
er O
wanneer O
op O
de O
kwaliteit O
gelet O
wordt O
sprake O
van O
niveau O
verschillen O
en O
valt O
er O
binnen O
een O
markt O
een O
hiërarchie O
te O
ont O
- O
dekken O
? O

Deze O
benadering O
, O
die O
dus O
veel O
ruimer O
is O
dan O
het O
nagaan O
van O
vestigings O
( O
plaats O
) O
factoren O
, O
is O
een O
voorlopige O
. O

Hij O
is O
onvol O
- O
ledig O
en O
ongetwijfeld O
in O
zijn O
uitvoering O
hier O
, O
gebrekkig O
. O

Er O
is O
steeds O
uitgegaan O
van O
het O
secundaire O
bedrijf O
. O

Ook O
pri O
- O
1 O
) O
zie O
drs.P.Davelaar O
, O
H O
. O

C O
. O

A O
. O

Slagter O
, O
drs O
. O

M O
. O
de O
Smidt O
: O
Arbeids O
- O
markt O
: O
struktuur O
, O
mobiliteit'en O
participatie O
. O

Bulletin O
no O
.7 O
van O
het O
Geografisch O
Instituut O
van O
de O
P.U O
. O

Utrecht O
. O

Utrecht O
, O
dec O
. O
196U O

. O

- O
25 O
- O
maire O
en O
tertiaire O
bedrijven O
spelen O
op O
de O
diverse O
" O
merkten O
" O
mee O
. O

Men O
kan O
de O
volgende O
markten O
onderscheiden O
: O
1 O
. O
producten O
( O
afzet O
) O
markt O
2o O
vervoersmarkt O
3 O
. O
technologische O
markt O
4 O
. O
arbeidsmarkt O
5 O
» O
grond O
- O
en O
hulpstoffenmarkt O
6 O
. O
energiemarkt O
7 O
. O
dienstenmarkt O
8 O
. O

( O
industrie O
) O
bouwmarkt O
9 O
. O
grond O
- O
en O
terreinenmarkt O
10 O
. O
kapitaalmarkt O
De O
volgorde O
waarin O
de O
markten O
behandeld O
zouden O
kunnen O
worden O
hangt O
af O
van O
het O
te O
kiezen O
uitgangspunt O
. O

Wanneer O
men O
op O
de O
fre O
- O
quentie O
van O
de O
keuzen O
door O
ondernemer O
of O
bedrijf O
let O
, O
dan O
zal O
de O
volgorde O
anders O
zijn O
dan O
wanneer O
op O
het O
niveau O
( O
belang O
) O
van O
de O
keuzen O
of O
b.v O
. O
de O
financiële O
gevolgen O
gelet O
wordt O
. O

Een O
apart O
probleem O
vormt O
het O
verschil O
tussen O
een O
bedrijf O
dat O
al O
produceert O
en O
een O
bedrijf O
dat O
men O
gaat O
vestigen O
. O

Gezien O
de O
vele O
mogelijkheden O
wordt O
bovenstaande O
, O
willekeurige O
volgorde O
aan O
gehouden O
. O

par O
.2 O
. O
De O
producten O
( O
afzet O
) O
markt O
. O

Bedrijven.zetten O
hun O
producten O
af O
. O

De O
aard O
van O
het O
product O
bepaalt O
de O
soort O
koper O
. O

Er O
bestaan O
kapitaal O
- O
, O
duurzame O
• O
consumptie O
- O
en O
consumptie O
goederen O
. O

Er O
is O
behalve O
finale O
1 O
vraag O
en O
aanbod O
ook O
intermediaire O
vraag O
en O
aanbod O
. O

De O
inter O
- O
mediaire O
leveringen O
zijn O
vaak O
zeer O
omvangrijk O
.1 O
) O
Het O
gaat O
niet O
alleen O
om O
feitelijke O
vraag O
en O
aanbod O
maar O
ook O
om O
poten O
- O
tiële O
. O

Er O
zit O
een O
duidelijke O
ruimtelijke O
kant O
aan O
de O
markt O
; O
vragers O
en O
aanbieders O
zijn O
gelocaliseerd O
. O

Vooi O
’ O
vele O
bedrijven O
1 O
) O
Voor O
Nederland O
zijn O
geen O
cijfers O
bekend O
. O

Drs.R.Ronteltap O
vermeldt O
in O
" O
De O
industriële O
ontwikkelingsmogelijkheden O
in O
Noord-Hollands O
Noorderkwartier O
" O
( O
Amsterdam O
, O
1968 O
) O
uit O
USA O
onderzoekingen O
80% O
. O

Dr.Olivier O
Vanneste O
geeft O
in O
deel O
II O
hoofdstuk O
2 O
van O
" O
Het O
groeipoolconcept O
en O
de O
regionale O
eco O
- O
nomische O
politiek O
" O
( O
Antwerpen O
, O
1967 O
) O
een O
groot O
aantal O
cij O
- O
fers O
per O
bedrijfsgroep O
en O
bedrijfsklasso O

. O

- O
26 O
- O
. O

is O
de O
afzetmarkt O
een O
erg O
' O
belangrijke O
keuze O
. O

De O
ruimtelijke O
plaats O
" O
binnen O
de O
grenzen O
ervan O
wordt O
door O
andere O
markten O
( O
vervoersmarkt O
, O
arbeidsmarkt O
e.d O
. O
) O
bepaald O
. O

Men O
kan O
, O
wanneer O
op O
de O
aard O
van O
het O
product O
gelet O
wordt O
, O
deelmarkten O
onder O
- O
scheiden O
en O
door O
de O
freouentie O
van O
de O
leveranties O
na O
te O
gaan O
( O
ook O
hun O
plaats O
) O
schalen O
constateren O
? O

^ O
Deelt O
men O
producten O
naar O
belangrijkheid O
in O
, O
dan O
blijken O
niveauverschillen O
binnen O
de O
markt O
te O
bestaan O
. O

Wat O
de O
intermediaire O
leveringen O
betreft O
: O
er O
bestaan O
twee O
vormen O
van O
vrij O
permanente O
relaties O
, O
die O
tot O
gevolg O
hebben O
dat O
bedrijven O
eikaars O
ruimtelijke O
nabijheid O
zullen O
zoeken O
, O
te O
weten O
: O
1 O
. O
bedrijven O
, O
die O
in O
een O
productiekolom O
op O
elkaar O
volgen O
; O
) O
2 O
. O
bedrijven O
die O
regelmatig O
veel O
( O
half O
) O
producten O
van O
andere O
bedrijven O
betrekken O
.3 O
) O
par O
. O
6 O
. O
De O
vervoersmarkt O
» O
Het O
bedrijf O
dat O
zijn O
producten O
af O
wil O
zetten O
is O
afhankelijk O
van O
de O
vervoersmogelijkheden O
. O

Dat O
geldt O
natuurlijk O
ook O
voor O
aanvoer O
van O
grond O
- O
en O
hulpstoffen O
, O
halfproducten O
en O
de O
afvoer O
van O
sommige O
afval O
. O

Het O
verkeer O
van O
en O
naar O
het O
bedrijf O
van O
werknemers O
enz O
. O
valt O
n.m.m O
. O
niet O
onder O
de O
vervoersmarkt O
. O

Aan O
de O
ene O
kant O
staat O
de O
potentiële O
en O
feitelijke O
vraag O
naar O
ver O
- O
voer O
en O
aan O
de O
andere O
kant O
is O
er O
een O
potentieel O
en O
feitelijk O
aanbod O
. O

Iedere O
vervoerssoort O
heeft O
z O
’ O
n O
eigen O
vervoermiddelen O
, O
z O
’ O
n O
eigen O
wegennet O
en O
is O
op O
een O
eigen O
wijze O
geregeld O
. O

In O
de O
1 O
) O
locale O
, O
regionale O
, O
bovenregionale O
, O
nationale O
en O
internatio O
- O
nale O
markten O
. O
2 O
) O
zie O
Hstall O
en O
Buchanan O
: O
Industrial O
activity O
and O
economie O
geography O
. O

London O
, O
1961 O
. O
pag O
. O
109 O
. O

Zij O
noemen O
het O
" O
vertical O
linkage O
" O
. O
3 O
) O
zie O
Estall O
en O
Buchanan O
o O
. O
c O
. O
pap O
; O
. O
109 O
. O

Zij O
noemen O
het O
" O
late O
- O
‘ O
ral O
" O
of O
" O
horizontal O
" O
linkage O
. O

Verder O
vermelden O
ze O
o O
. O
a O
. O
de O
‘ O
’ O
diagonal O
" O
linkage O
. O

Dit O
zijn O
meer O
de O
indirecte O
relaties O
of O
de O
minder O
freouente O
b.v O
. O
een O
gereedschapsfabriek O
. O

Als O
laatste O
vermelden O
ze O
volledig O
indirecte O
relaties O
, O
die O
b.v O
. O

via O
de O
arbeidsmarkt O
lopen O

. O

- O
27 O
- O
organisatie O
van O
zo O
' O
n O
vervoerssysteem O
valt O
soms O
een O
hiërarchie O
te O
ontdekken O
. O

Voor O
een O
deel O
vallen O
personen O
- O
en O
goederenvervoer O
samen O
. O

Het O
bedrijf O
dat O
iets O
moet O
laten O
( O
moet O
) O
vervoeren O
kiest O
een O
soort O
vervoer O
op O
grond O
van O
de O
bestaande O
mogelijkheden O
en O
de O
aard O
van O
hetgeen O
getransporteerd O
moet O
worden O
, O
de O
beschikbare O
tijd O
en O
prijs O
. O

Dikwijls O
moet O
men O
een O
combinatie O
kiezen O
. O

soort O
vervoer O
vervoerder O
1 O
) O
bedrijf O
zelf O
2 O
) O
onderneming O
overheid O
wegvervoer O
komt O
veel O
voor O
komt O
veel O
voor O
in O
Ned O
. O
indirect O
spoorwegver O
- O
voer O
— O
niet O
in O
Ned O
. O
komt O
veel O
voor O
binnenvaart O
komt O
voor O
komt O
veel O
voor O
niet O
in O
Ned O
. O

zeevaart O
komt O
voor O
komt O
voor O
niet O
in O
Ned O
. O

luchtvaart O
— O
komt O
voor O
niet O
in O
Ned O
. O
1 O
) O
eigen O
vervoer O
2 O
) O
als O
er O
sprake O
is O
van O
een O
vaste O
relatie O
dan O
wordt O
dit O
con O
- O
tract O
vervoer O
genoemd O
De O
vervoersmarkt O
is O
ruimtelijk O
, O
wat O
b.v O
. O
duidelijk O
blijkt O
bij O
de O
wegennetten O
? O

^ O
Er O
‘ O
is O
m.i O
. O
ook O
sprake O
van O
niveauverschillen O
, O
die O
samenhangen O
met O
aard O
van O
de O
goederen O
, O
afstand O
vervoer O
, O
snelheid O
, O
prijsvervoer O
en O
belang O
van O
vervoer O
. O

Er O
treden O
zeer O
veel O
veranderingen O
op O
op O
de O
vervoersmarkt O
, O
voor O
- O
al O
technisch O
en O
organisatorisch O
. O

Er O
komen O
zelfs O
nieuwe O
trans O
- O
portmiddelen O
bij O
( O
o.a O
. O
pijpleiding O
) O
. O
1 O
) O
lokaal O
, O
regionaal O
, O
bovenregionaal O
, O
nationaal O
en O
intbrnatio O
- O
naal O
. O
